[I 2020-01-15 20:56:22.237 SingleUserLabApp extension:158] JupyterLab extension loaded from /opt/jupyterhub/lib64/python3.6/site-packages/jupyterlab
[I 2020-01-15 20:58:05.604 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579121886042 (guest160@69.28.236.4) 1.18ms
[I 2020-01-15 20:58:07.612 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579121888026 (guest160@69.28.236.4) 13.66ms
[I 2020-01-15 20:58:07.635 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579121888068 (guest160@69.28.236.4) 5.43ms
[I 2020-01-15 20:58:15.656 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579121896084 (guest160@69.28.236.4) 1.62ms
[I 2020-01-15 20:58:15.658 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579121896096 (guest160@69.28.236.4) 1.27ms
[I 2020-01-15 20:58:17.692 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579121898125 (guest160@69.28.236.4) 5.21ms
[I 2020-01-15 20:58:25.712 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579121906139 (guest160@69.28.236.4) 2.28ms
[I 2020-01-15 20:58:25.713 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579121906152 (guest160@69.28.236.4) 1.92ms
[I 2020-01-15 20:58:27.085 SingleUserLabApp log:174] 200 GET /user/guest160/api/kernelspecs?1579121907518 (guest160@69.28.236.4) 2.77ms
[I 2020-01-15 20:58:27.754 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579121908184 (guest160@69.28.236.4) 5.60ms
[I 2020-01-15 20:58:35.780 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579121916202 (guest160@69.28.236.4) 2.68ms
[I 2020-01-15 20:58:35.781 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579121916215 (guest160@69.28.236.4) 2.38ms
[I 2020-01-15 20:58:37.787 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579121918212 (guest160@69.28.236.4) 13.16ms
[I 2020-01-15 20:58:37.820 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579121918246 (guest160@69.28.236.4) 4.85ms
[I 2020-01-15 20:58:45.837 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579121926277 (guest160@69.28.236.4) 1.73ms
[I 2020-01-15 20:58:45.839 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579121926267 (guest160@69.28.236.4) 1.28ms
[I 2020-01-15 20:58:47.882 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579121928315 (guest160@69.28.236.4) 4.73ms
[I 2020-01-15 20:58:55.890 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579121936318 (guest160@69.28.236.4) 1.41ms
[I 2020-01-15 20:58:55.891 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579121936331 (guest160@69.28.236.4) 1.11ms
[I 2020-01-15 20:58:56.689 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579121936783 (guest160@69.28.236.4) 12.91ms
[I 2020-01-15 20:58:57.939 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579121938371 (guest160@69.28.236.4) 5.33ms
[I 2020-01-15 20:59:05.942 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579121946374 (guest160@69.28.236.4) 1.66ms
[I 2020-01-15 20:59:05.944 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579121946383 (guest160@69.28.236.4) 1.10ms
[I 2020-01-15 20:59:07.995 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579121948427 (guest160@69.28.236.4) 5.06ms
[I 2020-01-15 20:59:16.018 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579121956431 (guest160@69.28.236.4) 1.56ms
[I 2020-01-15 20:59:16.020 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579121956456 (guest160@69.28.236.4) 1.01ms
[I 2020-01-15 20:59:36.225 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579121976665 (guest160@69.28.236.4) 1.50ms
[I 2020-01-15 20:59:36.227 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579121976668 (guest160@69.28.236.4) 1.02ms
[I 2020-01-15 20:59:37.240 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579121977665 (guest160@69.28.236.4) 11.52ms
[I 2020-01-15 20:59:38.236 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579121978665 (guest160@69.28.236.4) 5.19ms
[I 2020-01-15 20:59:46.272 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579121986706 (guest160@69.28.236.4) 1.42ms
[I 2020-01-15 20:59:46.274 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579121986709 (guest160@69.28.236.4) 1.12ms
[I 2020-01-15 20:59:48.290 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579121988722 (guest160@69.28.236.4) 4.31ms
[I 2020-01-15 20:59:51.295 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579121991726 (guest160@69.28.236.4) 11.59ms
[I 2020-01-15 20:59:56.328 SingleUserLabApp log:174] 200 GET /user/guest160/api/sessions?1579121996757 (guest160@69.28.236.4) 1.50ms
[I 2020-01-15 20:59:56.330 SingleUserLabApp log:174] 200 GET /user/guest160/api/terminals?1579121996769 (guest160@69.28.236.4) 1.11ms
[I 2020-01-15 20:59:58.354 SingleUserLabApp log:174] 200 GET /user/guest160/api/contents/?content=1&1579121998784 (guest160@69.28.236.4) 4.74ms
[I 2020-01-15 21:00:46.239 SingleUserLabApp log:174] 200 GET /user/guest160/metrics?1579122046665 (guest160@69.28.236.4) 13.40ms
